No,ClaveEscuela,Nombre,HorarioAtencion,Telefono,CorreoElectronico,correoAlterno,CicloEscolar,Colonia,Calle,Delegacion,Municipio,Estado
14,22DES0026J,SEC. GRAL. LAS AMERICAS,MATUTINO:  7:00-1:10 VESPERTINO: 1:30-7:40,442-220-5973,esc_sec1987@hotmail.com,,agosto-julio,SAN PABLO I,PLAYA RINCON NO 104,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
15,22DES0049U,SEC. GRAL. LUIS DONALDO COLOSIO,MATUTINO 7:00- 1:30  VESPERTINO 1:30-7:40,442-403-5525,22des0049u@usebeq.edu.mx,,agosto-julio,LA LOMA,MONTE PARNASO S/N,FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
16,22DES0009T,SEC. GRAL. MARIANO MATAMOROS,MATUTINO: 7:00-1:10 VESPERTINO: 1:30-7:40,442-291-0256,mm22des0009t@gmail.com,,agosto-julio,SANTA ROSA JAUREGUI,PRIV. CORREGIDORA S/N,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
17,22DES0001A,SEC. GRAL. NO. 1 CONSTITUCION DE 1917,MATUTINO: 7:00-1:20 VESPERTINO: 1:30-7:40,442-216-3100,secgral1qro@hotmail.com 22des0001a@usebeq.edu.mx,,agosto-julio,NIÑOS HEROES,PROL HIDALGO S/N,CENTRO HISTORICO,QUERETARO,QUERETARO
18,22DES0033T,SEC. GRAL. NO. 11 RICARDO FLORES MAGON,MATUTINO: 7:00-1:20  VESPERTINO: 1:30-7:40,442-217-4028,22def0033@usebeq.edu.mx,,agosto-julio,LA POPULAR,PROL. INVIERNO S/N.,CENTRO HISTORICO,QUERETARO,QUERETARO
19,22DES0008U,SEC. GRAL. NO. 2 MARIANO ESCOBEDO,MATUTINO: 8:00-2:00 VESPERTINO: 2:00-6:00 ,4426418576,22des0008u@usebeq.edu.mx,,agosto-julio,LINDA VISTA,PROLONGACION CORREGIDORA NORTE NO. 471,CENTRO HISTORICO,QUERETARO,QUERETARO
20,22DES0010I,SEC. GRAL. NO. 3 PRIMERO DE SEPTIEMBRE DE 1982,MATUTINO:  VESPERTINO: ,442-213-3444,sec3_1sep1982@hotmail.com,sec3_1sep1982@hotmail.com y 22des0010i@usebeq.edu.mx,agosto-julio,LAS PALMAS,AV. PROFESORES S/N,CENTRO HISTORICO,QUERETARO,QUERETARO
21,22DES0014E,SEC. GRAL. NO. 4 BENITO JUAREZ,MATUTINO: 7:00-1:00  VESPERTINO: 1:30-7:40,442-209-1316,22def0014e@usebeq.edu.mx,,agosto-julio,LOMAS DE CASA BLANCA,CALLE 37 S/N,JOSEFA VERGARA Y HERNÁNDEZ,QUERETARO,QUERETARO
22,22DES0020P,SEC. GRAL. NO. 5 DANIEL ORTIZ ESQUIVEL,MATUTINO: 7:00-1:10  VESPERTINO: 1:30-7:40,442-217-2958,22def0020p@usebeq.edu.mx,,agosto-julio,LA POPULAR,PROL. INVIERNO NO. 35,CENTRO HISTORICO,QUERETARO,QUERETARO
23,22DES0027I,SEC. GRAL. NO. 8 ANDRES BALVANERA,MATUTINO:  VESPERTINO: ,442-215-7171,sgobq@yahoo.com.mx,22des0027i@usebeq.edu.mx,agosto-julio,LAS PLAZAS,PROL. HACIENDA LA ESTANCIA S/N,JOSEFA VERGARA Y HERNÁNDEZ,QUERETARO,QUERETARO
24,22DES0011H,SEC. GRAL. QUETZALCOATL,MATUTINO:  VESPERTINO: ,442-484 66 41 y 442-788-3878,v_feregrino@hotmail.com  maidalia@hotmail.com,,agosto-julio,CORREGIDORA,EL PUEBLITO,,CORREGIDORA,QUERETARO
25,22DES0012G,SEC. GRAL. ROSARIO CASTELLANOS,MATUTINO:  VESPERTINO: ,442-213-9756,rosariocastellanos@live.com.mx,x,agosto-julio,LA CAÑADA,EMILIANO ZAPATA #21,,EL MARQUES,QUERETARO
26,22DES0041B,SEC. GRAL. TALENTOS DEPORTIVOS,MATUTINO:  VESPERTINO: ,442-246-3075 y 442-110-1585,sec.talentos_deportivos@hotmai,22des0041b@usebeq.edu.mx,agosto-julio,VILLAS DEL PARQUE,AV. RIO TAMESIS S/N,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
27,"22DES0051I
",SEC. GRAL. VALENTIN FRIAS Y FRIAS,MATUTINO,442 2449111,,,,LOS HEROES,ANILLO VIAL # 3,SALDARRIAGA,EL MARQUES,QUERETARO
28,22DST0001T,SEC. TEC. NO. 1 BENITO JUAREZ,MATUTINO: 7:00-2:00 VESPERTINO: 1:00-8:00,442-212-7966,"22DST0001T@USEBEQ.EDU.MX                           TRABAJO SOCIAL MATUTINO: irais.rincong@usebeq.edu.mx
TRABAJO SOCIAL VESPERTINO: gabriela.gonzalezh@usebeq.edu.mx",,agosto-julio,LA ERA,INGENIEROS #19,CENTRO HISTORICO,QUERETARO,QUERETARO
29,22DST0012Z,SEC. TEC. NO. 12 IGNACIO MANUEL ALTAMIRANO,MATUTINO: VESPERTINO: ,442-220-8048,escsectec12@hotmail.com,22dst0012z@usebeq.edu.mx,agosto-julio,MENCHACA II,RIO MAYO S/N ESQUINA RIO GUAYMAS,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
30,22DST0014X,SEC. TEC. NO. 14 RICARDO POZAS ARCINIEGA,MATUTINO: 7:00-1:20 VESPERTINO: 1:40-8:00,442-218-7574,22dst0014x@usebeq.edu.mx,,agosto-julio,POPOCATEPETL,POPOCATEPETL S/N,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
31,22DST0016V,SEC. TEC. NO. 16 JOSE MARIA LUIS MORA,MATUTINO: 7:00-2:00,442-228-9602 ,22dft0016v@usebeq.edu.mx,,agosto-julio,TLACOTE EL BAJO,CARRETERA A MOMPANI S/N,FELIPE CARRILLO PUERTO,QUERETARO,QUERETARO
32,22DST0022F,SEC. TEC. NO. 22 MARTIN GONZALEZ VAZQUEZ,MATUTINO: 7:00-1:20  VESPERTINO: 1:40-8:00 ,442-218-2703,22dst0022f@usebeq.edu.mx,,agosto-julio,CERRITO COLORADO,AV. DE LA LUZ Y AV. DE LA FUENTES S/N,FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
33,22DST0025C,SEC. TEC. NO. 25 EPIGMENIO GONZALEZ,MATUTINO: 7:00-2:00,442-245-0022,epigmenio.25@hotmail.com,,agosto-julio,BOLAÑOS,AV. ASTEROIDES S/N,CAYETANO RUBIO,QUERETARO,QUERETARO
34,22DST0026B,SEC. TEC. NO. 26 CONSTITUYENTES DE QUERETARO,MATUTINO: 7:00-1:20 VESPERTINO: 1:30-7:45,442-222-5930,alvaro.rojor@usebeq.edu.mx,,agosto-julio,LAZARO CARDENAS,FIDEL VELAZQUEZ S/N,JOSEFA VERGARA Y HERNÁNDEZ,QUERETARO,QUERETARO
35,22DST0027A,SEC. TEC. NO. 27 RODOLFO VERA ZAPATA,MATUTINO:  VESPERTINO: ,442-215-4504,22dst0027a@usebeq.edu.mx  argelia.chavezm@usebeq.edu.mx (turno matutino)                     noe.larar@usebeq.edu.mx (turno vespertino,,agosto-julio,EJIDO MODELO,PROL. PINO SUAREZ S/N,FELIPE CARRILLO PUERTO,QUERETARO,QUERETARO
36,22DST0029Z,SEC. TEC. NO. 29 MIGUEL ANGEL BUONARROTI,MATUTINO: 8:00-1:00 VESPERTINO: 1:00-6:00,442-217-9644,22dst0029z@usebeq.edu.mx,,agosto-julio,LOS SAUCES,ROMA Y MADRID,FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
37,22DST0033L,SEC. TEC. NO. 33 JUAN ALDAMA,MATUTINO: 7:30-1:20 VESPERTINO: 1:30-7:40,442 225 4001,22dst0033l@usebeq.edu.mx,,agosto-julio,LOS ANGELES,SAN FRANCISCO S/N,CENTRO HISTORICO,QUERETARO,QUERETARO
38,22DST0035J,SEC. TEC. NO. 35 EDUARDO LOARCA CASTILLO,MATUTINO: 7:00-2:00 ,442-403-7532,22dst0035j@usebeq.edu.mx,,agosto-julio,LA ESMERALDA,ERMITA S/N,FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
39,22DST0036I,SEC. TEC. NO. 36 ANTONIO ACOSTA AGUAYO,MATUTINO:  VESPERTINO: ,442-199-2923,,22dst0036i@usebeq.edu.mx,agosto-julio,CERRITO COLORADO,TARAHUMARAS 600,FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
40,22DST0037H,SEC. TEC. NO. 37 OCTAVIO PAZ,MATUTINO: 7:00-1:30 VESPERTINO: 1:30-7:50,442-225-7820,22dst0037h@usebeq.edu.mx,,agosto-julio,SAN PEDRO MARTIR,CORAL Y LADERA DE LAS FLORES S/N,FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
41,22DES0011H,SEC. TEC. NO. 38 QUETZALATL,MATUTINO: 7:00-2:00,4423202369,"22dst0038g@usebeq.edu.mx>
Correo de la trabajadora Social:
MANUELA GONZALEZ LUNA <manuela.gonzalezl@usebeq.edu.mx>",22dst0038g@usebeq.edu.mx,agosto-julio,MONTENEGRO,CARRETERA A PINTO S/N,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
42,22DST0006O,SEC. TEC. NO. 6 JUAN ANTONIO DE URRUTIA Y ARANA,MATUTINO:  VESPERTINO: ,442-217-0903,tecnica.6@live.com.mx,22dst0006o@usebeq.edu.mx,agosto-julio,LA INDUSTRIAL,AV. FELIPE CARRILLO PUERTO S/N,FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
43,22DST0009L,SEC. TEC. NO. 9 ORGANIZACION DE LAS NACIONES UNIDAS,MATUTINO: 7:00-2:00  VESPERTINO: 2:00-7:40,442-222-1720,22dft009l@usebeq.edu.mx,,agosto-julio,LOMAS DE CASA BLANCA,AV. 36,JOSEFA VERGARA Y HERNÁNDEZ,QUERETARO,QUERETARO
44,22DTV0079U,TELESECUNDARIA ANDRES BALVANERA,MATUTINO:  8:00-2:00,4421496566,israel.angelesm@usebeq.edu.mx,,agosto-julio,JURIQUILLA,AV. VILLAS DEL MESON S/N,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
45,22DTV0013L,TELESECUNDARIA ANGELA PERALTA,MATUTINO,442 238 6000,,,,EL AHORCADO,CONOCIDO,EPIGMENIO GONZALEZ FLORES,PEDRO ESCOBEDO,QUERETARO
46,22DTV0251M,TELESECUNDARIA BICENTENARIO DE LA INDEPENDENCIA DE MEXICO,MATUTINO:  VESPERTINO: ,442-238- 60-00,,x,agosto-julio,EL PIE,EL PIE,FELIPE CARRILLO PUERTO,QUERETARO,QUERETARO
47,22DTV0053M,TELESECUNDARIA CRISTOBAL COLON,MATUTINO:  8:00-2:00,"442 238 6000 ext 1862,1863,1864 4422306151",florean.vargasc@usebeq.edu.mx,,agosto-julio,PINTO,PINTO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
48,22DST0034K,TELESECUNDARIA EMILIANO ZAPATA,MATUTINO:  8:00-2:00,4421046339,ignacio.riverav@usebeq.edu.mx,,agosto-julio,PUERTO DE AGUIRRE,PUERTO DE AGUIRRE,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
49,22DTV0083G,TELESECUNDARIA ENCUENTRO UNIVERSIDAD SOCIEDAD,MATUTINO:  8:00-2:00,4425617868,florencio.munozg@usebeq.edu.mx,,agosto-julio,LA VERSOLILLA,CONOCIDO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
50,22DTV0139S,TELESECUNDARIA ESCUADRON 201,MATUTINO:  8:00-2:00,4423331444,laura.sanchezr@usebeq.edu.mx,,agosto-julio,SAN JOSE EL ALTO,CARRETERA A CHICHIMEQUILLAS S/N,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
51,22DTV0080J,TELESECUNDARIA HERIBERTO FRIAS,MATUTINO:  8:00-2:00,4423799146,moises.nunezp@usebeq.edu.mx,,agosto-julio,SAN ISIDRO BUENAVISTA,MIGUEL ALEMAN VALDEZ S/N,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
52,22DTV0233X,TELESECUNDARIA HEROES DE LA INDEPENDENCIA,MATUTINO:  8:00-2:00,4422634291,sandra.cuestasa@usebeq.edu.mx,,agosto-julio,SAN JOSE BUENAVISTA,CONOCIDO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
53,22DTV0077W,TELESECUNDARIA IGNACIO ZARAGOZA,MATUTINO:  8:00-2:00,4424581954,manuel.jilotec@usebeq.edu.mx,,agosto-julio,LAS LAJITAS,LAS LAJITAS,,El MARQUES,QUERETARO
54,22DTV0142F,TELESECUNDARIA JESUS URUETA,MATUTINO:  8:00-2:00,4423815096,raul.alvaradoa.@usebeq.edu.mx,,agosto-julio,LA ESTACADA,LAREDO S/N,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
55,22DTV0081I,TELESECUNDARIA JOSE MA. ARTEAGA,MATUTINO:  8:00-2:00,4429999999,ema.manriquezr@usebeq.edu.mx,,agosto-julio,LA LUZ,CONOCIDO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
56,22DTV0157H,TELESECUNDARIA JOSE MA. MORELOS Y PAVON,MATUTINO:  8:00-2:00,4421425725,escjosemamorelos104@gmail.com,,agosto-julio,LA SOLANA SAN JUAN,CONOCIDO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
57,22DTV0170B,TELESECUNDARIA JOSEFA VERGARA,MATUTINO:  8:00-2:00,4421228838,gricelda.quiterio@usebeq.edu.mx,,agosto-julio,EL SALITRE,RAFAEL OZUNA S/N,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
58,22DTV0049Z,TELESECUNDARIA LAZARO CARDENAS DEL RIO (CONAFE),MATUTINO:  8:00-2:00,4422363096,ericelia.ramosh@usebeq.edu.mx,,agosto-julio,CHARAPE DE LOS PELONES,CONOCIDO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
59,22DTV0051O,TELESECUNDARIA LUIS SANDI,MATUTINO:  8:00-2:00,4424713416,angeles.beltranc@usebeq.edu.mx,,agosto-julio, JOFRITO,CALLE 12 S/N,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
60,22DTV0196J,TELESECUNDARIA LUIS VEGA Y MONROY,MATUTINO:  8:00-2:00,4423245861,antonio.ramirezf@usebeq.edu.mx,,agosto-julio,VISTAS DEL CIMATARIO,VISTAS DEL CIMATARIO S/N,JOSEFA VERGARA Y HERNÁNDEZ,QUERETARO,QUERETARO
61,22DTV0001G,TELESECUNDARIA MEXICO,MATUTINO:  8:00-2:00,4423247607,norma.morae@usebeq.edu.mx,,agosto-julio,LA MONJA,CONOCIDO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
62,22DTV0154K,TELESECUNDARIA MIGUEL DOMINGUEZ,MATUTINO:  8:00-2:00,4411141041,enrique.angelesl@usebeq.edu.mx,,agosto-julio,TINAJA DE LA ESTANCIA,CONOCIDO,FELIPE CARRILLO PUERTO,QUERETARO,QUERETARO
63,22DTV0052N,TELESECUNDARIA PARTICIPACIÓN DESARROLLO Y PAZ,MATUTINO:  8:00-2:00,4422742810,olivia.riverav@usebeq.edu.mx,,agosto-julio,SAN MIGUELITO,CONOCIDO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
64,22DTV0195K,TELESECUNDARIA RAZA DE BRONCE,MATUTINO:  8:00-2:00,4423806105,jangeles@usebeq.edu.mx,,agosto-julio,SANTA MARIA MAGDALENA,PROLONGACION INDEPENDENCIA S/N,FELIPE CARRILLO PUERTO,QUERETARO,QUERETARO
65,22DTV0018G,TELESECUNDARIA REPUBLICA DE ARGENTINA,MATUTINO:  8:00-2:00,4191081350,bernardo.hernandezb@usebeq.edu.mx,,agosto-julio,PIE DE GALLO,BENITO JUAREZ S/N,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
66,22DTV0017H,TELESECUNDARIA REPUBLICA DEL ECUADOR,MATUTINO:  8:00-2:00,4422716311,veronica.guerreror@usebeq.edu.mx,,agosto-julio,EL NABO,CONOCIDO,FELIPE CARRILLO PUERTO,QUERETARO,QUERETARO
67,22DTV0234W,TELESECUNDARIA ROBERTO RUIZ OBREGON,MATUTINO:  8:00-2:00,,eleazar.guzmana@usebeq.edu.mx,,agosto-julio,CASA BLANCA (SANTA ROSA JAUREGUI),CONOCIDO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
68,22KTV0009I,TELESECUNDARIA SUEÑO DE  JUVENTUD Y ESTUDIO,MATUTINO:  8:00-2:00,,,x,agosto-julio,CHARAPE DE LA JOYA,CONOCIDO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
69,22DTV0245B,TELESECUNDARIA VASCO DE QUIROGA,MATUTINO:  8:00-2:00,4425110728,luis.gomezl@usebeq.edu.mx,,agosto-julio,CERRO DE LA CRUZ,CONOCIDO S/N,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
